"Data";"Hora";"Categoria";"ProdID";"Marca";"Produto";"Preco";"PVPR";"Desconto_Pct";"Poupanca_Euro";"Destaque";"Stock";"URL"
"2026-04-06";"11:55:06";"Chupetas";"8591268";"Philips Avent";"Pack Ultra Air Deco Girl 6-18M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-deco-girl-6-18m-8591268.html"
"2026-04-06";"11:55:06";"Chupetas";"8591403";"Philips Avent";"Pack Ultra Air Deco Girl 18M+";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-deco-girl-18m-8591403.html"
"2026-04-06";"11:55:06";"Chupetas";"8591094";"Philips Avent";"Pack Ultra Air Colours 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-colours-0-6m-8591094.html"
"2026-04-06";"11:55:06";"Chupetas";"8591264";"Philips Avent";"Pack Ultra Air Happy Boy 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-happy-boy-0-6m-8591264.html"
"2026-04-06";"11:55:06";"Chupetas";"8586006";"Philips Avent";"Pack Ultra Start Deco Boy 0-2M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-start-deco-boy-0-2m-8586006.html"
"2026-04-06";"11:55:06";"Chupetas";"8585970";"Philips Avent";"Pack Ultra Start Deco Girl 0-2M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-start-deco-girl-0-2m-8585970.html"
"2026-04-06";"11:55:06";"Chupetas";"8591395";"Philips Avent";"Pack Ultra Air Deco Boy 18M+";"10,99";;;;"";"Disponivel";"https://wells.pt/pack-ultra-air-deco-boy-18m-8591395.html"
"2026-04-06";"11:55:06";"Chupetas";"8590996";"Philips Avent";"Pack Ultra Air Deco Boy 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-deco-boy-0-6m-8590996.html"
"2026-04-06";"11:55:06";"Chupetas";"8591267";"Philips Avent";"Pack Ultra Air Girl 6-18M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-girl-6-18m-8591267.html"
"2026-04-06";"11:55:06";"Chupetas";"8591095";"Philips Avent";"Pack Ultra Air Colors Of Nature Deco 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-colors-of-nature-deco-0-6m-8591095.html"
"2026-04-06";"11:55:06";"Chupetas";"8591413";"Philips Avent";"Pack Ultra Air Colors Of Nature Deco 18M+";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-colors-of-nature-deco-18m-8591413.html"
"2026-04-06";"11:55:06";"Chupetas";"8122043";"Chicco";"Pack Chuchas Physio Soft Azul 6-16M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-soft-azul-6-16m-8122043.html"
"2026-04-06";"11:55:06";"Chupetas";"6992926";"Mam";"Chuchas Start 0+ Silicone Rosa";"10,25";;;;"";"Disponivel";"https://wells.pt/chuchas-start-0-silicone-rosa-6992926.html"
"2026-04-06";"11:55:06";"Chupetas";"7482613";"Philips Avent";"Chuchas Soothie menino 0-6meses";"10,39";"12,99";"20";"2,60";"";"Sem Stock";"https://wells.pt/chuchas-soothie-menino-0-6meses-7482613.html"
"2026-04-06";"11:55:06";"Chupetas";"8122031";"Chicco";"Pack Chuchas Physio Soft Rosa 16-36M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-soft-rosa-16-36m-8122031.html"
"2026-04-06";"11:55:06";"Chupetas";"8122074";"Chicco";"Pack Chuchas Physio Soft Rosa 6-16M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-soft-rosa-6-16m-8122074.html"
"2026-04-06";"11:55:06";"Chupetas";"7553355";"Philips Avent";"Chuchas UltraSoft Neutra 0-6m";"10,39";"12,99";"20";"2,60";"";"Disponivel";"https://wells.pt/chuchas-ultrasoft-neutra-0-6m-7553355.html"
"2026-04-06";"11:55:06";"Chupetas";"8122030";"Chicco";"Pack Chuchas Physio Soft Azul 16-36M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-soft-azul-16-36m-8122030.html"
"2026-04-06";"11:55:06";"Chupetas";"8199981";"Chicco";"Pack Physioforma Dual Soft Rosa Cinzento 2-6M";"8,79";"10,99";"20";"2,20";"";"Disponivel";"https://wells.pt/pack-physioforma-dual-soft-rosa-cinzento-2-6m-8199981.html"
"2026-04-06";"11:55:06";"Chupetas";"7291943";"Chicco";"Chucha Mini Soft 0-2M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/chucha-mini-soft-0-2m-7291943.html"
"2026-04-06";"11:55:06";"Chupetas";"8122076";"Chicco";"Pack Chuchas Physio Soft Rosa 2-6M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-soft-rosa-2-6m-8122076.html"
"2026-04-06";"11:55:06";"Chupetas";"7795229";"Nuk";"Chuchas For Nature Verde 6-18M&nbsp;";"9,96";"11,07";"10";"1,11";"";"Disponivel";"https://wells.pt/chuchas-for-nature-verde-6-18m%C2%A0-7795229.html"
"2026-04-06";"11:55:06";"Chupetas";"8199983";"Chicco";"Pack Physioforma Dual Soft Rosa 6-16M";"8,79";"10,99";"20";"2,20";"";"Disponivel";"https://wells.pt/pack-physioforma-dual-soft-rosa-6-16m-8199983.html"
"2026-04-06";"11:55:06";"Chupetas";"8122042";"Chicco";"Pack Chuchas Physio Soft Azul 2-6M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-soft-azul-2-6m-8122042.html"
"2026-04-06";"11:55:06";"Chupetas";"8093249";"Suavinex";"Chucha Fisiologica Zero Zero -2-2M Light";"8,9";;;;"";"Disponivel";"https://wells.pt/chucha-fisiologica-zero-zero--2-2m-light-8093249.html"
"2026-04-06";"11:55:06";"Chupetas";"7735179";"Chicco";"Chuchas Physio Comfort 6-16m";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/chuchas-physio-comfort-6-16m-7735179.html"
"2026-04-06";"11:55:06";"Chupetas";"7795230";"Nuk";"Chuchas For Nature Creme +18M&nbsp;";"9,96";"11,07";"10";"1,11";"";"Disponivel";"https://wells.pt/chuchas-for-nature-creme-18m%C2%A0-7795230.html"
"2026-04-06";"11:55:06";"Chupetas";"7850938";"Philips Avent";"Chucha Ultra Air Night 0-6M Rosa";"9,59";"11,99";"20";"2,40";"";"Sem Stock";"https://wells.pt/chucha-ultra-air-night-0-6m-rosa-7850938.html"
"2026-04-06";"11:55:06";"Chupetas";"7795228";"Nuk";"Chuchas For Nature Creme 6-18M&nbsp;";"9,96";"11,07";"10";"1,11";"";"Disponivel";"https://wells.pt/chuchas-for-nature-creme-6-18m%C2%A0-7795228.html"
"2026-04-06";"11:55:06";"Chupetas";"7795216";"Nuk";"Chuchas For Nature Creme 0-6M&nbsp;";"9,96";"11,07";"10";"1,11";"";"Disponivel";"https://wells.pt/chuchas-for-nature-creme-0-6m%C2%A0-7795216.html"
"2026-04-06";"11:55:06";"Chupetas";"6988670";"Mam";"Chucha Perfect 2-6M";"9,52";"11,2";"15";"1,68";"";"Disponivel";"https://wells.pt/chucha-perfect-2-6m-6988670.html"
"2026-04-06";"11:55:06";"Chupetas";"8200062";"Chicco";"Pack Physioforma Dual Soft Azul Verde 16-36M";"8,79";"10,99";"20";"2,20";"";"Disponivel";"https://wells.pt/pack-physioforma-dual-soft-azul-verde-16-36m-8200062.html"
"2026-04-06";"11:55:06";"Chupetas";"7465527";"Suavinex";"Chucha Fisiologica Zero Zero 0M-6M";"8,01";"8,9";"10";"0,89";"";"Disponivel";"https://wells.pt/chucha-fisiologica-zero-zero-0m-6m-7465527.html"
"2026-04-06";"11:55:06";"Chupetas";"8199994";"Chicco";"Pack Physioforma Dual Soft Rosa Magenta 16-36M";"8,79";"10,99";"20";"2,20";"";"Disponivel";"https://wells.pt/pack-physioforma-dual-soft-rosa-magenta-16-36m-8199994.html"
"2026-04-06";"11:55:06";"Chupetas";"7576820";"Nuk";"Chuchas Space Mickey Boy 6-18m";"10,1";"11,22";"10";"1,12";"";"Disponivel";"https://wells.pt/chuchas-space-mickey-boy-6-18m-7576820.html"
"2026-04-06";"11:55:06";"Chupetas";"8492168";"Suavinex";"Smoothie Butterfly 6-18m SX Pro";"7,5";;;;"";"Disponivel";"https://wells.pt/smoothie-butterfly-6-18m-sx-pro-8492168.html"
"2026-04-06";"11:55:06";"Chupetas";"5325003";"Chicco";"Chuchas Physio Air Silicone 6-12m";"8,39";"11,99";"30";"3,60";"";"Disponivel";"https://wells.pt/chuchas-physio-air-silicone-6-12m-5325003.html"
"2026-04-06";"11:55:06";"Chupetas";"7828633";"Suavinex";"Chucha Colour Essence Fisio 0-6m Green";"7,5";;;;"";"Disponivel";"https://wells.pt/chucha-colour-essence-fisio-0-6m-green-7828633.html"
"2026-04-06";"11:55:06";"Chupetas";"7593651";"Philips Avent";"Chuchas Ultra Air 0-6m";"8,79";"10,99";"20";"2,20";"";"Sem Stock";"https://wells.pt/chuchas-ultra-air-0-6m-7593651.html"
"2026-04-06";"11:55:06";"Chupetas";"4958920";"Chicco";"Chucha Physiosoft Silicone 2-6m";"5,99";"7,99";"25";"2,00";"";"Disponivel";"https://wells.pt/chucha-physiosoft-silicone-2-6m-4958920.html"
"2026-04-06";"11:55:06";"Chupetas";"8492180";"Suavinex";"Smoothie Butterfly 0-6m SX Pro";"7,5";;;;"";"Disponivel";"https://wells.pt/smoothie-butterfly-0-6m-sx-pro-8492180.html"
"2026-04-06";"11:55:06";"Chupetas";"4958921";"Chicco";"Chucha Physiosoft Silicone 2-6m";"5,99";"7,99";"25";"2,00";"";"Disponivel";"https://wells.pt/chucha-physiosoft-silicone-2-6m-4958921.html"
"2026-04-06";"11:55:06";"Chupetas";"4958922";"Chicco";"Chucha Physiosoft Silicone 6-16M";"5,99";"7,99";"25";"2,00";"";"Disponivel";"https://wells.pt/chucha-physiosoft-silicone-6-16m-4958922.html"
"2026-04-06";"11:55:06";"Chupetas";"7703746";"Tommee Tippee";"Chucha Advanced Sensitive 0-6m";"5,94";"8,49";"30";"2,55";"";"Disponivel";"https://wells.pt/chucha-advanced-sensitive-0-6m-7703746.html"
"2026-04-06";"11:55:06";"Chupetas";"7828586";"Suavinex";"Chucha Colour Essence Anatomica 0-6m Green";"5,95";;;;"";"Disponivel";"https://wells.pt/chucha-colour-essence-anatomica-0-6m-green-7828586.html"
"2026-04-06";"11:55:06";"Chupetas";"8094233";"Suavinex";"Chucha Zero Zero 0-6M Light";"8,9";;;;"";"Disponivel";"https://wells.pt/chucha-zero-zero-0-6m-light-8094233.html"
"2026-04-06";"11:55:06";"Chupetas";"8375537";"Nuk";"Pack Star Day & Night Girl 6-18M";"10,71";;;;"";"Sem Stock";"https://wells.pt/pack-star-day-and-night-girl-6-18m-8375537.html"
"2026-04-06";"11:55:06";"Chupetas";"8375544";"Nuk";"Pack Star Day & Night Girl 18-36M";"10,71";;;;"";"Sem Stock";"https://wells.pt/pack-star-day-and-night-girl-18-36m-8375544.html"
"2026-04-06";"11:55:06";"Chupetas";"8375554";"Nuk";"Pack Star Day & Night Boy 18-36M";"10,71";;;;"";"Sem Stock";"https://wells.pt/pack-star-day-and-night-boy-18-36m-8375554.html"
"2026-04-06";"11:55:06";"Chupetas";"8375447";"Nuk";"Pack Star Day & Night Boy 6-18M";"10,71";;;;"";"Sem Stock";"https://wells.pt/pack-star-day-and-night-boy-6-18m-8375447.html"
"2026-04-06";"11:55:06";"Chupetas";"8591312";"Philips Avent";"Pack Ultra Soft Ultradouce Nutra 0-6M";"12,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-soft-ultradouce-nutra-0-6m-8591312.html"
"2026-04-06";"11:55:06";"Chupetas";"8591389";"Philips Avent";"Pack Ultra Soft Deco Neutra 6-18M";"12,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-soft-deco-neutra-6-18m-8591389.html"
"2026-04-06";"11:55:06";"Chupetas";"8591398";"Philips Avent";"Pack Ultra Soft Girl 18M+";"12,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-soft-girl-18m-8591398.html"
"2026-04-06";"11:55:06";"Chupetas";"8591367";"Philips Avent";"Pack Ultra Air Deco Boy 6-18M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-deco-boy-6-18m-8591367.html"
"2026-04-06";"11:55:06";"Chupetas";"8586088";"Philips Avent";"Pack Ultra Start Nighttime Boy 0-2M";"11,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-start-nighttime-boy-0-2m-8586088.html"
"2026-04-06";"11:55:06";"Chupetas";"8624797";"Philips Avent";"Pack Ultra Air Day and Night 6-18M";"13,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-day-and-night-6-18m-8624797.html"
"2026-04-06";"11:55:06";"Chupetas";"8591265";"Philips Avent";"Pack Ultra Air Happy Girl 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-happy-girl-0-6m-8591265.html"
"2026-04-06";"11:55:06";"Chupetas";"8591080";"Philips Avent";"Pack Ultra Air Girl 18M+";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-girl-18m-8591080.html"
"2026-04-06";"11:55:06";"Chupetas";"8591092";"Philips Avent";"Pack Ultra Air Deco Girl 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-deco-girl-0-6m-8591092.html"
"2026-04-06";"11:55:06";"Chupetas";"8591382";"Philips Avent";"Pack Ultra Air Colours 6-18M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-colours-6-18m-8591382.html"
"2026-04-06";"11:55:06";"Chupetas";"8591390";"Philips Avent";"Pack Ultra Air Happy Boy 6-18M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-happy-boy-6-18m-8591390.html"
"2026-04-06";"11:55:06";"Chupetas";"8122636";"Chicco";"Pack Chuchas Physio Air Verde 2-6M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-air-verde-2-6m-8122636.html"
"2026-04-06";"11:55:06";"Chupetas";"7827100";"Mam";"Pack Chuchas Original 6M+";"11,5";;;;"";"Disponivel";"https://wells.pt/pack-chuchas-original-6m-7827100.html"
"2026-04-06";"11:55:06";"Chupetas";"8122077";"Chicco";"Pack Chuchas Physio Air Azul 16-36M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/pack-chuchas-physio-air-azul-16-36m-8122077.html"
"2026-04-06";"11:55:06";"Chupetas";"8122038";"Chicco";"Pack Chuchas Physio Micro Lumi 0-2M";"9,59";"11,99";"20";"2,40";"";"Sem Stock";"https://wells.pt/pack-chuchas-physio-micro-lumi-0-2m-8122038.html"
"2026-04-06";"11:55:06";"Chupetas";"8591402";"Philips Avent";"Pack Ultra Air Boy 18M+";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-boy-18m-8591402.html"
"2026-04-06";"11:55:06";"Chupetas";"7995143";"Dr. Browns";"Pack Chuchas de Silicone +0M Rosa e Verde";"7,99";;;;"";"Sem Stock";"https://wells.pt/pack-chuchas-de-silicone-0m-rosa-e-verde-7995143.html"
"2026-04-06";"11:55:06";"Chupetas";"8199998";"Chicco";"Pack Physioforma Dual Soft Azul Cinzento 6-16M";"8,79";"10,99";"20";"2,20";"";"Disponivel";"https://wells.pt/pack-physioforma-dual-soft-azul-cinzento-6-16m-8199998.html"
"2026-04-06";"11:55:06";"Chupetas";"8199992";"Chicco";"Pack Physioforma Dual Soft Azul Cinzento 2-6M";"8,79";"10,99";"20";"2,20";"";"Disponivel";"https://wells.pt/pack-physioforma-dual-soft-azul-cinzento-2-6m-8199992.html"
"2026-04-06";"11:55:06";"Chupetas";"6988684";"Mam";"Chucha Perfect 6+";"11,2";;;;"";"Disponivel";"https://wells.pt/chucha-perfect-6-6988684.html"
"2026-04-06";"11:55:06";"Chupetas";"7827092";"Mam";"Chuchas Original Pure 2-6m Azul";"11,5";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-2-6m-azul-7827092.html"
"2026-04-06";"11:55:06";"Chupetas";"7827106";"Mam";"Chuchas Original Pure Night 6+m Rosa";"11,9";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-night-6m-rosa-7827106.html"
"2026-04-06";"11:55:11";"Chupetas";"7828608";"Suavinex";"Chucha Colour Essence Fisio 6-18m Green";"7,5";;;;"";"Sem Stock";"https://wells.pt/chucha-colour-essence-fisio-6-18m-green-7828608.html"
"2026-04-06";"11:55:11";"Chupetas";"7795217";"Nuk";"Chuchas For Nature Verde 0-6M&nbsp;";"9,96";"11,07";"10";"1,11";"";"Disponivel";"https://wells.pt/chuchas-for-nature-verde-0-6m%C2%A0-7795217.html"
"2026-04-06";"11:55:11";"Chupetas";"7946519";"Nuk";"Chucha em Silicone MommyFeel 0-9M Rosa";"11,47";"12,75";"10";"1,28";"";"Disponivel";"https://wells.pt/chucha-em-silicone-mommyfeel-0-9m-rosa-7946519.html"
"2026-04-06";"11:55:11";"Chupetas";"6988686";"Mam";"Chucha Perfect +16M";"9,52";"11,2";"15";"1,68";"";"Disponivel";"https://wells.pt/chucha-perfect-16m-6988686.html"
"2026-04-06";"11:55:11";"Chupetas";"6992964";"Mam";"Chucha Original +6M";"11,5";;;;"";"Disponivel";"https://wells.pt/chucha-original-6m-6992964.html"
"2026-04-06";"11:55:11";"Chupetas";"7827114";"Mam";"Chuchas Original Pure Night 2-6m Rosa";"11,9";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-night-2-6m-rosa-7827114.html"
"2026-04-06";"11:55:11";"Chupetas";"7827105";"Mam";"Chuchas Original Pure Night 6+m Azul";"11,9";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-night-6m-azul-7827105.html"
"2026-04-06";"11:55:11";"Chupetas";"6992943";"Mam";"Chucha Original Rosa 2-6M";"10,93";"11,5";"5";"0,57";"";"Disponivel";"https://wells.pt/chucha-original-rosa-2-6m-6992943.html"
"2026-04-06";"11:55:11";"Chupetas";"7827107";"Mam";"Chuchas Original Pure Night 16+m Azul";"11,9";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-night-16m-azul-7827107.html"
"2026-04-06";"11:55:11";"Chupetas";"8492167";"Suavinex";"Smoothie Butterfly 0-6m SX Pro";"7,5";;;;"";"Disponivel";"https://wells.pt/smoothie-butterfly-0-6m-sx-pro-8492167.html"
"2026-04-06";"11:55:11";"Chupetas";"7827095";"Mam";"Chuchas Original Pure 2-6m Neutro";"11,5";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-2-6m-neutro-7827095.html"
"2026-04-06";"11:55:11";"Chupetas";"8094211";"Suavinex";"Chucha Zero Zero 0 a 6M Deep";"8,9";;;;"";"Disponivel";"https://wells.pt/chucha-zero-zero-0-a-6m-deep-8094211.html"
"2026-04-06";"11:55:11";"Chupetas";"6988688";"Mam";"Chucha Perfect 16M+";"11,2";;;;"";"Disponivel";"https://wells.pt/chucha-perfect-16m-6988688.html"
"2026-04-06";"11:55:11";"Chupetas";"7827103";"Mam";"Chuchas Original Pure 16+m Neutro";"10,95";;;;"";"Disponivel";"https://wells.pt/chuchas-original-pure-16m-neutro-7827103.html"
"2026-04-06";"11:55:11";"Chupetas";"8492044";"Suavinex";"Wonder Butterfly 6-18m SX Pro";"8,95";;;;"";"Sem Stock";"https://wells.pt/wonder-butterfly-6-18m-sx-pro-8492044.html"
"2026-04-06";"11:55:11";"Chupetas";"7291940";"Chicco";"Chucha Mini Soft 0-2M";"9,59";"11,99";"20";"2,40";"";"Disponivel";"https://wells.pt/chucha-mini-soft-0-2m-7291940.html"
"2026-04-06";"11:55:11";"Chupetas";"7576822";"Nuk";"Chuchas Space Mickey Girl 0-6m";"10,1";"11,22";"10";"1,12";"";"Disponivel";"https://wells.pt/chuchas-space-mickey-girl-0-6m-7576822.html"
"2026-04-06";"11:55:11";"Chupetas";"7576821";"Nuk";"Chuchas Space Mickey Boy +18m";"10,1";"11,22";"10";"1,12";"";"Disponivel";"https://wells.pt/chuchas-space-mickey-boy-18m-7576821.html"
"2026-04-06";"11:55:11";"Chupetas";"8094210";"Suavinex";"Chucha Zero Zero 0-6M Medium";"8,9";;;;"";"Disponivel";"https://wells.pt/chucha-zero-zero-0-6m-medium-8094210.html"
"2026-04-06";"11:55:11";"Chupetas";"7827077";"Mam";"Chuchas Start Pure 0-2m Azul";"10,25";;;;"";"Disponivel";"https://wells.pt/chuchas-start-pure-0-2m-azul-7827077.html"
"2026-04-06";"11:55:11";"Chupetas";"6992967";"Mam";"Chucha Original +6M";"9,78";"11,5";"15";"1,72";"";"Disponivel";"https://wells.pt/chucha-original-6m-6992967.html"
"2026-04-06";"11:55:11";"Chupetas";"8086970";"Suavinex";"Chucha Wonder SX Pro 6-18M Viva Magenta";"8,95";;;;"";"Disponivel";"https://wells.pt/chucha-wonder-sx-pro-6-18m-viva-magenta-8086970.html"
"2026-04-06";"11:55:11";"Chupetas";"7030335";"Nuk";"Chucha Space 6-18M";"10,43";"11,59";"10";"1,16";"";"Disponivel";"https://wells.pt/chucha-space-6-18m-7030335.html"
